d83d8e85-c973-43f1-8010-e8f36dc62725,bb3bf4f1-c80b-43b9-93a6-263313c59141,f48c2a4a-3151-4163-b625-b93c6c227f62,35292a8f-2c31-428e-b12b-ecb42e41f30c,c318426a-e0cf-4c00-830e-9470f81507bb,36715673-fabf-4b26-bcb3-54efccbcf6ca,1f550d2e-d956-4855-8f6c-850193633ba2,f70f21e0-e825-4f34-a3a0-3417ba47b289,0a44a70a-025f-4b95-b067-1905cd773228,f3e926b6-9054-43e5-b214-72715fea5476,7e5f790a-2539-4f59-b04d-75858ff1caa0,0e52365f-0968-4865-98c8-5a391db72fe1,729982cd-0e35-4f56-90dd-aa3ce52c45a4,7c329b17-a9b9-429d-87d6-8d696bb1a0f1,a791e0a0-108f-4ea5-ac55-ffbc9ef41f04,03d16ff5-015b-4c1f-89e1-fb9e8f3c323e,41dd9f25-8df0-46e6-9f29-cceef9210ae8,f8a27cd2-f746-4301-a112-59d13e40d78d,dd740279-a043-472e-9440-1247838bdebd,93c3190c-58c6-4fa6-b31d-e972f017b622,e7668a0e-eeeb-49fe-b68d-e4673ff0492f,17a128c0-8bb3-42fe-8fa8-e9b6c9857c61,88a913cc-2e7a-402c-8f68-e04d9aea2bfe,922e17af-4f99-4a08-92d5-c8797f685f91,da106b8e-74c8-48ae-9585-c42116b2ba37,37274c8e-ef2a-4273-be16-1568ef1010d8,2f6014cb-8ffd-48ef-8c06-e2f22e8f09fb,8cd22776-3059-4312-be9f-414a4cc9a5d4,06a4bb43-86fe-4d0d-b323-df7f797ddedf,75657b05-6269-49ed-9dde-0685e47cd2e8,d7a052b3-0fd2-4248-aceb-14699019a4a4,fa38e540-d001-49d9-b3f1-d1a707fc1579,297cff0e-3751-4d1e-8c51-b492f8bae160,4478951e-a465-46c5-913d-bcea7a66cb2a,be6b6705-67ab-46ec-a6e5-80adf6c48c0a,821df950-1005-42a1-bb71-94e21d06f843,f0b3db32-813a-495e-9ca0-dde8056737c8,94e29b50-ba90-424a-98b8-c2dc37ad1d28,620be5d0-583e-43e9-b3de-0b70c7cf5176,953b161f-1acf-4fc3-a393-bdce6b3c5153,b80aad76-63a0-4cbf-802e-5e89b172c4f9,1bd0cfbf-ead3-4e72-b15b-e4980f9b59db,dc1f4078-c6b5-4ccb-a537-4da64d413107,cff5961c-e380-4d30-9a4d-0bfdf353115f,5a6d7588-d7ab-4a8a-be29-d0e69477a2d9,51ff4529-089d-43c6-90c4-e6bdcb13b9fe,dc5451c6-9cf1-4680-bb77-8c264cd2f1ec,50e1157d-9579-4ef9-b50e-099cefad7e0f,2810bb86-71f1-4ece-94e6-b7427b2274ef,feb23d72-7ec3-4505-84ec-987e02009258,65c47774-d0bf-4ce9-ba77-1b1304459dc7
CS Laundry/Washing Area,120,149,230,CS Laundry/Washing Area_2021WABuilding Code,CS Laundry/Washing Area_2021WABuilding CodeScheduleSet,0.929022668,161.1957796,97,120,0.5,"Washington State Mechanical Code TABLE 403.3.1.1Dry cleaners, laundries - Commercial laundryASHRAEHB2025FundCh18tbl4Sendentary work_RestaurantPeopleDef",HotelSmall LaundryRoom_Occ_Sch,CS Laundry/Washing AreaActivity,0.002359604,5.66E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Dry cleaners, laundries - Commercial laundryVent",5.587835705,0.2,0.2,0.4,COMNET-REV9EstimateCS Laundry/Washing AreaElectricalEquipDef,HotelSmall LaundryRoom_Eqp_Elec_Sch,5.70492,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Laundry/washing areaLightingDef,HotelSmall BLDG_LIGHT_LAUNDRY_SCH,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Hospital - laundry/washingInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Loading Dock - Interior,153,153,255,CS Loading Dock - Interior_2021WABuilding Code,CS Loading Dock - Interior_2021WABuilding CodeScheduleSet,0.185804534,219.8124267,97,120,0.366666667,"Washington State Mechanical Code TABLE 403.3.1.1Retail stores, sales floors, and showroom floors - Shipping and receivingCOMNET-REV9PeopleDef",NECB-A-Occupancy,CS Loading Dock - InteriorActivity,0.004719207,5.66E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Retail stores, sales floors, and showroom floors - Shipping and receivingVent",1.0764,0,0.5,0,DOEPrototypeCS Loading Dock - InteriorElectricalEquipDef,NECB-A-Electric-Equipment,9.47232,0.37,0.2,"Washington State Energy Code Commercial TABLE C405.4.2Loading dock, interiorLightingDef",NECB-A-Lighting,,,,,,,9.44E-05,EstimateSpace Function_Warehouse - med/blkInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Lobby - Assisted Living,230,157,120,CS Lobby - Assisted Living_2021WABuilding Code,CS Lobby - Assisted Living_2021WABuilding CodeScheduleSet,2.787068004,131.887456,97,120,0.555555556,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Lobbies/prefunctionCOMNET-REV9PeopleDef",NECB-H-Occupancy,CS Lobby - Assisted LivingActivity,0.003539405,2.83E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Lobbies/prefunctionVent",15.1196451,0,0.5,0,COMNET-REV9DOEPrototypeCS Lobby - Assisted LivingElectricalEquipDef,NECB-H-Electric-Equipment,18.19116,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Lobby - In a facility for the visually impaired (and not used primarily by the staff)LightingDef,NECB-H-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Hotel/Motel - lobbyInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Lobby - Elevator  ,230,157,120,CS Lobby - Elevator  _2021WABuilding Code,CS Lobby - Elevator  _2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces - Corridors serving other than Group R occupanciesVent,3.2292,0,0.5,0,COMNET-REV9BA WarehouseWholeBuildingCS Lobby - Elevator  ElectricalEquipDef,NECB-C-Electric-Equipment,6.9966,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Lobby - For an elevatorLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Lobby - elevatorInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Lobby - Hotel,230,157,120,CS Lobby - Hotel_2021WABuilding Code,CS Lobby - Hotel_2021WABuilding CodeScheduleSet,2.787068004,131.887456,97,120,0.555555556,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Lobbies/prefunctionCOMNET-REV9PeopleDef",HotelLarge BLDG_OCC_SCH,CS Lobby - HotelActivity,0.003539405,2.83E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Lobbies/prefunctionVent",16.83628263,0,0.5,0,COMNET-REV9DOEPrototypeCS Lobby - HotelElectricalEquipDef,HotelLarge BLDG_EQUIP_SCH,5.48964,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Lobby - In a hotelLightingDef,HotelLarge BLDG_LIGHT_SCH,,,,,,,5.29E-05,PNNL-NECB 2011DOE_PrototypeLargeHotel_LobbyInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Lobby - Motion Picture Theater  ,230,157,120,CS Lobby - Motion Picture Theater  _2021WABuilding Code,CS Lobby - Motion Picture Theater  _2021WABuilding CodeScheduleSet,13.93534002,96.71746776,97,120,0.681818182,Washington State Mechanical Code TABLE 403.3.1.1Theaters - LobbiesCOMNET-REV9PeopleDef,NECB-C-Occupancy,CS Lobby - Motion Picture Theater  Activity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Theaters - LobbiesVent,8.017603941,0,0.5,0,COMNET-REV9DOEPrototypeCS Lobby - Motion Picture Theater  ElectricalEquipDef,NECB-C-Electric-Equipment,2.47572,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Lobby - In a motion picture theaterLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Lobby - motion pictureInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Lobby - Performing Arts Theater  ,230,157,120,CS Lobby - Performing Arts Theater  _2021WABuilding Code,CS Lobby - Performing Arts Theater  _2021WABuilding CodeScheduleSet,13.93534002,96.71746776,97,120,0.681818182,Washington State Mechanical Code TABLE 403.3.1.1Theaters - LobbiesCOMNET-REV9PeopleDef,NECB-C-Occupancy,CS Lobby - Performing Arts Theater  Activity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Theaters - LobbiesVent,8.017603941,0,0.5,0,COMNET-REV9DOEPrototypeCS Lobby - Performing Arts Theater  ElectricalEquipDef,NECB-C-Electric-Equipment,13.455,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Lobby - In a performing arts theaterLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Lobby - performance artsInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Lobby - Other,230,157,120,CS Lobby - Other_2021WABuilding Code,CS Lobby - Other_2021WABuilding CodeScheduleSet,,,,,,,,,,0.000471947,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces - Elevator lobbies in parking garageVent,,,,,,,9.04176,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Lobby - OtherwiseLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Lobby - otherInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Locker Room,0,153,153,CS Locker Room_2021WABuilding Code,CS Locker Room_2021WABuilding CodeScheduleSet,,,,,,,,,,,,Washington State Mechanical Code TABLE 403.3.1.1Education - Locker/dressing roomsVent,1.0764,0.2,0.5,0.1,EstimateCS Locker RoomElectricalEquipDef,SchoolSecondary BLDG_EQUIP_SCH,5.59728,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Locker roomLightingDef,SchoolSecondary BLDG_LIGHT_GYM_SCH,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Locker roomInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Lounge/Break - Healthcare,230,157,120,CS Lounge/Break - Healthcare_2021WABuilding Code,CS Lounge/Break - Healthcare_2021WABuilding CodeScheduleSet,2.32255667,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Office - KitchenettesCOMNET-REV9BA Healthcare ClinicPeopleDef,OutPatientHealthCare BLDG_OCC_SCH,CS Lounge/Break - HealthcareActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Office - KitchenettesVent,13.44237587,0,0.5,0,COMNET-REV9DOEPrototypeCS Lounge/Break - HealthcareElectricalEquipDef,OutPatientHealthCare BLDG_EQUIP_SCH_BASE,4.52088,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Lounge /breakroom - In a health care facilityLightingDef,OutPatientHealthCare BLDG_LIGHT_SCH,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeOutpatient_LoungeInfil,OutPatientHealthCare INFIL_SCH,,,,,,,,,,,,,InternalMassDef
CS Lounge/Break - Other,230,157,120,CS Lounge/Break - Other_2021WABuilding Code,CS Lounge/Break - Other_2021WABuilding CodeScheduleSet,2.32255667,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Office - KitchenettesCOMNET-REV9BA OfficePeopleDef,OfficeMedium BLDG_OCC_SCH,CS Lounge/Break - OtherActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Office - KitchenettesVent,17.99869304,0.25,0.3,0,COMNET-REV9BA OfficeWholeBuildingCS Lounge/Break - OtherElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,6.35076,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Lounge /breakroom - OtherwiseLightingDef,OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeOffice_BreakRoomInfil,OfficeMedium INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Office - Enclosed,120,230,199,CS Office - Enclosed_2021WABuilding Code,CS Office - Enclosed_2021WABuilding CodeScheduleSet,0.464511334,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Office - Office spacesCOMNET-REV9PeopleDef,OfficeMedium BLDG_OCC_SCH,CS Office - EnclosedActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Office - Office spacesVent,17.99869304,0,0.5,0,COMNET-REV9DOEPrototypeCS Office - EnclosedElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,7.96536,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Office - Enclosed <= 250LightingDef,OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeOffice_ClosedOfficeInfil,OfficeMedium INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Office - Open Plan,120,230,199,CS Office - Open Plan_2021WABuilding Code,CS Office - Open Plan_2021WABuilding CodeScheduleSet,5.574136009,131.887456,97,120,0.555555556,ASHRAE 62.1-2019Office Buildings - Telephone/data entryCOMNET-REV9PeopleDef,OfficeMedium BLDG_OCC_SCH,CS Office - Open PlanActivity,0.002359604,2.83E-05,,ASHRAE 62.1-2019Office Buildings - Telephone/data entryVent,17.99869304,0,0.5,0,COMNET-REV9DOEPrototypeCS Office - Open PlanElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,6.56604,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Office - Open planLightingDef,OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeOffice_OpenOfficeInfil,OfficeMedium INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Parking Area - Interior,153,0,76,CS Parking Area - Interior_2021WABuilding Code,CS Parking Area - Interior_2021WABuilding CodeScheduleSet,,,,,,,,,,,,Washington State Mechanical Code TABLE 403.3.1.1Storage_Repair garages_enclosed parking garageVent,3.2292,0,0.06,0.88,"Medium Estimate: Workplace, 20% of Spaces with Level 2 Charger12%lost to heatCS Parking Area - InteriorElectricalEquipDef",NECB-H-Electric-Equipment,1.6146,0.37,0.2,"Washington State Energy Code Commercial TABLE C405.4.2Parking area, interiorLightingDef",NECB-H-Lighting,,,,,,,9.44E-05,EstimateSpace Function_Parking garage spaceInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Pharmacy Area,255,0,127,CS Pharmacy Area_2021WABuilding Code,CS Pharmacy Area_2021WABuilding CodeScheduleSet,0.929022668,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Workrooms - Pharmacy (prep area)COMNET-REV9PeopleDef,NECB-C-Occupancy,CS Pharmacy AreaActivity,0.002359604,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Workrooms - Pharmacy (prep area)Vent,5.912414747,0,0.5,0,COMNET-REV9DOEPrototypeCS Pharmacy AreaElectricalEquipDef,NECB-C-Electric-Equipment,17.86824,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Pharmacy areaLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Hospital - pharmacyInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Restrooms - Assisted Living,169,169,31,CS Restrooms - Assisted Living_2021WABuilding Code,CS Restrooms - Assisted Living_2021WABuilding CodeScheduleSet,,,,,,,,,,,7,"Rule of ThumbHotels, motels, resorts and dormitories - Bathrooms/toilets - privateWashington State Mechanical Code TABLE 403.3.1.6 - 25/50 per fixtureVent",15.1196451,0,0.5,0,COMNET-REV9DOEPrototypeCS Restrooms - Assisted LivingElectricalEquipDef,OfficeMedium BLDG_EQUIP_SCH,13.56264,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Restroom - In a facility for the visually impaired (and not used primarily by the staff)LightingDef,OfficeMedium BLDG_LIGHT_SCH_2013,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeOffice_RestroomInfil,OfficeMedium INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Restrooms - Other,169,169,31,CS Restrooms - Other_2021WABuilding Code,CS Restrooms - Other_2021WABuilding CodeScheduleSet,,,,,,,,,,,12,Rule of ThumbPublic spaces - Toilet rooms - PublicWashington State Mechanical Code TABLE 403.3.1.6 - 50/70 per fixtureVent,3.2292,0,0.5,0,COMNET-REV9BA WarehouseWholeBuildingCS Restrooms - OtherElectricalEquipDef,HotelSmall Lobby_Eqp_Sch,6.78132,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Restroom - OtherwiseLightingDef,HotelSmall BLDG_LIGHT_RESTROOM_SCH,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeSecondarySchool_RestroomInfil,SchoolSecondary INFIL_SCH_PNNL,,,,,,,,,,,,,InternalMassDef
CS Sales Area,102,255,102,CS Sales Area_2021WABuilding Code,CS Sales Area_2021WABuilding CodeScheduleSet,1.393534002,131.887456,97,120,0.555555556,"Washington State Mechanical Code TABLE 403.3.1.1Retail stores, sales floors, and showroom floors - SalesCOMNET-REV9PeopleDef",NECB-C-Occupancy,CS Sales AreaActivity,0.003539405,5.66E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Retail stores, sales floors, and showroom floors - SalesVent",5.912414747,0,0.5,0,COMNET-REV9DOEPrototypeCS Sales AreaElectricalEquipDef,NECB-C-Electric-Equipment,11.3022,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Sales areaLightingDef,NECB-C-Lighting,,,,,,,2.10E-05,PNNL-90.1-2013DOE_PrototypeRetail_Point_of_SaleInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Seating Area General,230,196,120,CS Seating Area General_2021WABuilding Code,CS Seating Area General_2021WABuilding CodeScheduleSet,2.787068004,131.887456,97,120,0.555555556,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Lobbies/prefunctionCOMNET-REV9BA HotelPeopleDef",NECB-C-Occupancy,CS Seating Area GeneralActivity,0.003539405,2.83E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Lobbies/prefunctionVent",16.83628263,0,0.5,0,COMNET-REV9BA HotelWholeBuildingCS Seating Area GeneralElectricalEquipDef,NECB-C-Electric-Equipment,2.47572,0.37,0.2,"Washington State Energy Code Commercial TABLE C405.4.2Seating area, generalLightingDef",NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Transp. seatingInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Stairway,230,157,120,CS Stairway_2021WABuilding Code,CS Stairway_2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces - Corridors serving other than Group R occupanciesVent,3.2292,0,0.5,0,COMNET-REV9BA WarehouseWholeBuildingCS StairwayElectricalEquipDef,HotelSmall AlwaysOff,5.27436,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2StairwellLightingDef,HotelSmall BLDG_LIGHT_STAIR_SCH,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_StairwayInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Storage - Hospital,102,0,0,CS Storage - Hospital_2021WABuilding Code,CS Storage - Hospital_2021WABuilding CodeScheduleSet,,,,,,,,,,5.66E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Retail stores, sales floors, and showroom floors - Storage roomsVent",13.44237587,0,0.5,0,COMNET-REV9DOEPrototypeCS Storage - HospitalElectricalEquipDef,NECB-H-Electric-Equipment,4.09032,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Storage room - All other storageLightingDef,NECB-H-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Storage areaInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Storage - >= 50 ft2 ,102,0,0,CS Storage - >= 50 ft2 _2021WABuilding Code,CS Storage - >= 50 ft2 _2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Storage - WarehousesVent,3.379348356,0,0.5,0,COMNET-REV9DOEPrototypeCS Storage - >= 50 ft2 ElectricalEquipDef,NECB-E-Electric-Equipment,4.09032,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Storage room - >= 50 ft2LightingDef,NECB-E-Lighting,,,,,,,1.32E-05,PNNL-90.1-2013DOE_PrototypeSmallHotel_Storage4FrontInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Storage - < 50 ft2 ,102,0,0,CS Storage - < 50 ft2 _2021WABuilding Code,CS Storage - < 50 ft2 _2021WABuilding CodeScheduleSet,,,,,,,,,,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Storage - WarehousesVent,3.379348356,0,0.5,0,COMNET-REV9DOEPrototypeCS Storage - < 50 ft2 ElectricalEquipDef,NECB-E-Electric-Equipment,5.48964,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Storage room - < 50 ft2LightingDef,NECB-E-Lighting,,,,,,,1.32E-05,PNNL-90.1-2013DOE_PrototypeSmallHotel_Storage4FrontInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Vehicular Maintenance,153,0,76,CS Vehicular Maintenance_2021WABuilding Code,CS Vehicular Maintenance_2021WABuilding CodeScheduleSet,,,,,,,,,,,,Washington State Mechanical Code TABLE 403.3.1.1Storage_Repair garages_enclosed parking garageVent,5.417004309,0,0.5,0,COMNET-REV9DOEPrototypeCS Vehicular MaintenanceElectricalEquipDef,NECB-A-Electric-Equipment,6.4584,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Vehicular maintenanceLightingDef,NECB-A-Lighting,,,,,,,9.44E-05,EstimateSpace Function_Parking garage spaceInfil,Always On,,,,,,,,,,,,,InternalMassDef
CS Workshop,160,160,160,CS Workshop_2021WABuilding Code,CS Workshop_2021WABuilding CodeScheduleSet,1.858045336,468.933177,97,120,0.396875,Washington State Mechanical Code TABLE 403.3.1.1Education - Wood/metal shopsCOMNET-REV9PeopleDef,NECB-A-Occupancy,CS WorkshopActivity,0.004719207,8.50E-05,,Washington State Mechanical Code TABLE 403.3.1.1Education - Wood/metal shopsVent,4.610617106,0.1,0.5,0.1,COMNET-REV9EstimateCS WorkshopElectricalEquipDef,NECB-A-Electric-Equipment,13.56264,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2WorkshopLightingDef,NECB-A-Lighting,,,,,,,9.44E-05,EstimateSpace Function_Parking garage spaceInfil,Always On,,,,,,,,,,,,,InternalMassDef
SS Assisted Living - Chapel,255,153,255,SS Assisted Living - Chapel_2021WABuilding Code,SS Assisted Living - Chapel_2021WABuilding CodeScheduleSet,11.14827202,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Public spaces - Places of religious worshipCOMNET-REV9PeopleDef,NECB-C-Occupancy,SS Assisted Living - ChapelActivity,0.002359604,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces - Places of religious worshipVent,15.1196451,0,0.5,0,COMNET-REV9DOEPrototypeSS Assisted Living - ChapelElectricalEquipDef,NECB-C-Electric-Equipment,7.5348,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Facility for the visually impaired - In a chapel (and not used primarily by the staff)LightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Religious - fellowship hallInfil,Always On,,,,,,,,,,,,,InternalMassDef
SS Assisted Living - Recreation Room,255,0,0,SS Assisted Living - Recreation Room_2021WABuilding Code,SS Assisted Living - Recreation Room_2021WABuilding CodeScheduleSet,3.716090673,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Sports and amusement - Health club/aerobics roomCOMNET-REV9PeopleDef,NECB-B-Occupancy,SS Assisted Living - Recreation RoomActivity,0.009438414,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Sports and amusement - Health club/aerobics roomVent,15.1196451,0,0.5,0,COMNET-REV9DOEPrototypeSS Assisted Living - Recreation RoomElectricalEquipDef,NECB-B-Electric-Equipment,19.05228,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Facility for the visually impaired - In a recreation room (and not used primarily by the staff)LightingDef,NECB-B-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Hospital - lounge/recreationInfil,Always On,,,,,,,,,,,,,InternalMassDef
SS Convention Center - Exhibit Space  ,204,204,0,SS Convention Center - Exhibit Space  _2021WABuilding Code,SS Convention Center - Exhibit Space  _2021WABuilding CodeScheduleSet,3.716090673,131.887456,97,120,0.555555556,Washington State Mechanical Code TABLE 403.3.1.1Public spaces - Museums/galleriesCOMNET-REV9PeopleDef,NECB-C-Occupancy,SS Convention Center - Exhibit Space  Activity,0.003539405,2.83E-05,,Washington State Mechanical Code TABLE 403.3.1.1Public spaces - Museums/galleriesVent,8.047252432,0,0.5,0,COMNET-REV9DOEPrototypeSS Convention Center - Exhibit Space  ElectricalEquipDef,NECB-C-Electric-Equipment,6.56604,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Convention center - Exhibit spaceLightingDef,NECB-C-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Convention centre - exhibitInfil,Always On,,,,,,,,,,,,,InternalMassDef
SS Dormitory - Living Quarters  ,176,224,230,SS Dormitory - Living Quarters  _2021WABuilding Code,SS Dormitory - Living Quarters  _2021WABuilding CodeScheduleSet,1.858045336,131.887456,97,120,0.555555556,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Dormitory sleeping areaCOMNET-REV9PeopleDef",NECB-G-Occupancy,SS Dormitory - Living Quarters  Activity,0.002359604,2.83E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Dormitory sleeping areaVent",21.05575352,0,0.5,0,COMNET-REV9DOEPrototypeSS Dormitory - Living Quarters  ElectricalEquipDef,NECB-G-Electric-Equipment,5.382,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Dormitory living quartersLightingDef,NECB-G-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Dormitory - living quartersInfil,Always On,,,,,,,,,,,,,InternalMassDef
SS Fire Station - Sleeping Quarters  ,176,224,230,SS Fire Station - Sleeping Quarters  _2021WABuilding Code,SS Fire Station - Sleeping Quarters  _2021WABuilding CodeScheduleSet,1.858045336,131.887456,97,120,0.555555556,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Dormitory sleeping areaCOMNET-REV9PeopleDef",NECB-G-Occupancy,SS Fire Station - Sleeping Quarters  Activity,0.002359604,2.83E-05,,"Washington State Mechanical Code TABLE 403.3.1.1Hotels, motels, resorts and dormitories - Dormitory sleeping areaVent",16.58041368,0,0.5,0,COMNET-REV9DOEPrototypeSS Fire Station - Sleeping Quarters  ElectricalEquipDef,NECB-G-Electric-Equipment,2.47572,0.37,0.2,Washington State Energy Code Commercial TABLE C405.4.2Fire stations - Sleeping quartersLightingDef,NECB-G-Lighting,,,,,,,2.32E-05,PNNL-NECB 2011DOE_PrototypeSpace Function_Fire station - quartersInfil,Always On,,,,,,,,,,,,,InternalMassDef
